iter	RMSE
0	0.9811915788
1	0.9484373623
2	0.9190095059
3	0.8925898271
4	0.8696360932
5	0.8477039857
6	0.8274278729
7	0.8095341494
8	0.7934466304
9	0.7786506458
10	0.7652391841
11	0.75425792
12	0.742958304
13	0.73322048
14	0.7241490568
15	0.7155275386
16	0.708378268
17	0.7017432351
18	0.6955313451
19	0.6900907817
20	0.6850884757
21	0.6806588111
22	0.6767361299
23	0.6730497536
24	0.6698938064
25	0.6670567999
26	0.6642371585
27	0.6615559998
28	0.6593252793
29	0.6571944287
30	0.6552574075
31	0.6534267307
32	0.6516091117
33	0.6498211137
34	0.6483086901
35	0.6471252106
36	0.6459317683
37	0.6448540323
38	0.6439223457
39	0.6429855322
40	0.6420669863
41	0.641073098
42	0.6402611084
43	0.6395975192
44	0.6389096133
45	0.6381987892
46	0.6376051426
47	0.6370058164
48	0.6364167721
49	0.6358332491
50	0.6353659598
51	0.6349143054
52	0.6345180781
53	0.6341477152
54	0.6337952362
55	0.6335022308
56	0.6331517355
57	0.6328141631
58	0.6324001589
59	0.6320653719
60	0.6317994719
61	0.6315346221
62	0.6313315214
63	0.6310841833
64	0.6306704022
65	0.6304540455
66	0.6301223756
67	0.6298221191
68	0.6295983618
69	0.6292721326
70	0.6290047002
71	0.6288306919
72	0.6286839812
73	0.6284639363
74	0.6282179767
75	0.6279577491
76	0.6278153833
77	0.6276259699
78	0.6274397701
79	0.6272080664
80	0.627000655
81	0.6267812333
82	0.6266479954
83	0.6264879114
84	0.6263552514
85	0.6261612125
86	0.6259680408
87	0.6257744668
88	0.6257254477
89	0.6255164043
90	0.6253646926
91	0.6252491694
92	0.625165385
93	0.6249779555
94	0.6248169046
95	0.6246363733
96	0.6245428636
97	0.624447106
98	0.6243448746
99	0.6241955839
100	0.6241434906
101	0.6239604131
102	0.6238296571
103	0.6237111229
104	0.6235813907
105	0.6234010003
106	0.6232567131
107	0.6231178673
108	0.6229604675
109	0.6227956719
110	0.6225732911
111	0.6223371525
112	0.6221888588
113	0.621988584
114	0.6218220739
115	0.6216886436
116	0.6215896645
117	0.6214456174
118	0.6212768438
119	0.6211722538
120	0.6209851586
121	0.6208350695
122	0.6207085025
