iter	Passed	Remaining
0	144	144247
1	147	73789
2	151	50245
3	154	38486
4	158	31447
5	161	26808
6	165	23444
7	169	20961
8	173	19054
9	176	17481
10	180	16197
11	183	15105
12	186	14192
13	190	13408
14	193	12719
15	196	12114
16	200	11578
17	204	11139
18	207	10734
19	211	10357
20	214	10021
21	218	9710
22	221	9426
23	225	9171
24	229	8935
25	232	8709
26	235	8499
27	239	8314
28	243	8141
29	246	7968
30	250	7824
31	253	7679
32	257	7548
33	261	7427
34	264	7297
35	268	7177
36	271	7063
37	274	6952
38	277	6847
39	281	6748
40	284	6656
41	287	6562
42	291	6479
43	294	6405
44	298	6329
45	301	6250
46	304	6181
47	308	6119
48	312	6064
49	316	6005
50	319	5947
51	323	5893
52	327	5846
53	330	5793
54	334	5745
55	337	5697
56	341	5650
57	345	5605
58	348	5559
59	352	5515
60	355	5470
61	359	5431
62	362	5388
63	365	5351
64	369	5313
65	372	5276
66	376	5240
67	380	5209
68	383	5177
69	387	5145
70	390	5113
71	393	5077
72	397	5048
73	400	5013
74	403	4980
75	406	4947
76	410	4917
77	413	4893
78	417	4867
79	420	4840
80	424	4817
81	428	4793
82	431	4768
83	434	4743
84	438	4716
85	441	4690
86	444	4664
87	447	4640
88	451	4617
89	454	4593
90	457	4573
91	461	4556
92	464	4533
93	468	4513
94	471	4494
95	475	4477
96	478	4456
97	481	4436
98	485	4417
99	488	4399
100	492	4379
101	495	4359
102	498	4340
103	502	4325
104	505	4307
105	508	4291
106	512	4274
107	515	4258
108	519	4242
109	522	4225
110	525	4209
111	528	4191
112	531	4174
113	535	4159
114	538	4142
115	541	4127
116	544	4112
117	548	4097
118	551	4082
119	554	4067
120	557	4052
121	561	4038
122	564	4024
123	567	4011
124	570	3996
125	574	3982
126	577	3970
127	581	3958
128	584	3946
129	587	3933
130	590	3919
131	594	3907
132	597	3894
133	600	3882
134	604	3871
135	607	3859
136	610	3845
137	613	3835
138	617	3822
139	620	3809
140	623	3799
141	626	3786
142	630	3775
143	633	3764
144	636	3754
145	639	3743
146	643	3733
147	646	3723
148	649	3712
149	653	3702
150	656	3693
151	660	3684
152	663	3675
153	667	3665
154	670	3656
155	673	3646
156	677	3635
157	680	3625
158	683	3616
159	686	3604
160	689	3594
161	692	3584
162	696	3575
163	699	3566
164	702	3556
165	706	3547
166	709	3537
167	712	3529
168	715	3519
169	719	3511
170	722	3502
171	725	3492
172	728	3483
173	732	3474
174	735	3466
175	738	3458
176	741	3449
177	745	3441
178	748	3432
179	751	3423
180	755	3416
181	758	3408
182	761	3400
183	764	3392
184	768	3383
185	771	3375
186	774	3368
187	778	3362
188	781	3355
189	785	3346
190	788	3340
191	791	3330
192	794	3323
193	798	3316
194	801	3309
195	805	3302
196	808	3295
197	811	3287
198	815	3280
199	818	3273
200	821	3265
201	824	3258
202	828	3251
203	831	3244
204	834	3237
205	838	3231
206	841	3225
207	845	3217
208	848	3212
209	851	3204
210	855	3198
211	858	3192
212	862	3185
213	865	3180
214	869	3174
215	872	3167
216	876	3161
217	879	3155
218	882	3148
219	886	3141
220	889	3134
221	892	3127
222	895	3121
223	898	3114
224	902	3106
225	905	3100
226	908	3093
227	911	3087
228	914	3080
229	918	3073
230	921	3066
231	924	3061
232	927	3054
233	931	3047
234	934	3041
235	937	3034
236	940	3028
237	944	3023
238	947	3017
239	950	3010
240	953	3004
241	957	2998
242	960	2992
243	963	2986
244	966	2979
245	970	2973
246	973	2967
247	976	2961
248	980	2956
249	983	2951
250	987	2946
251	990	2940
252	994	2934
253	997	2928
254	1000	2922
255	1003	2916
256	1006	2910
257	1010	2904
258	1013	2899
259	1016	2893
260	1019	2887
261	1023	2881
262	1026	2876
263	1030	2871
264	1033	2866
265	1036	2860
266	1040	2855
267	1043	2850
268	1047	2845
269	1050	2839
270	1053	2834
271	1056	2828
272	1060	2823
273	1063	2818
274	1067	2814
275	1071	2809
276	1074	2804
277	1078	2800
278	1081	2795
279	1085	2791
280	1088	2785
281	1091	2780
282	1095	2775
283	1099	2770
284	1102	2766
285	1106	2762
286	1109	2757
287	1113	2751
288	1116	2745
289	1119	2740
290	1122	2735
291	1126	2730
292	1129	2725
293	1133	2720
294	1136	2715
295	1139	2710
296	1142	2705
297	1146	2700
298	1149	2695
299	1153	2690
300	1156	2685
301	1159	2679
302	1162	2674
303	1165	2669
304	1169	2664
305	1172	2659
306	1175	2654
307	1179	2649
308	1182	2644
309	1185	2639
310	1189	2634
311	1192	2628
312	1195	2624
313	1198	2619
314	1202	2615
315	1205	2609
316	1209	2604
317	1212	2599
318	1215	2595
319	1219	2590
320	1222	2585
321	1225	2580
322	1228	2575
323	1231	2570
324	1235	2565
325	1238	2560
326	1241	2555
327	1245	2551
328	1248	2546
329	1251	2541
330	1255	2536
331	1258	2532
332	1262	2527
333	1265	2522
334	1268	2518
335	1271	2513
336	1275	2508
337	1278	2504
338	1282	2500
339	1286	2497
340	1290	2493
341	1293	2488
342	1297	2484
343	1300	2480
344	1303	2475
345	1307	2471
346	1310	2466
347	1314	2462
348	1317	2457
349	1320	2452
350	1323	2447
351	1327	2443
352	1330	2438
353	1333	2433
354	1337	2429
355	1340	2424
356	1343	2419
357	1346	2415
358	1350	2410
359	1353	2406
360	1356	2401
361	1360	2397
362	1363	2392
363	1366	2388
364	1370	2383
365	1373	2379
366	1376	2374
367	1380	2370
368	1383	2365
369	1386	2361
370	1389	2356
371	1392	2351
372	1396	2347
373	1399	2342
374	1402	2338
375	1406	2333
376	1409	2328
377	1412	2324
378	1416	2320
379	1419	2315
380	1422	2311
381	1425	2306
382	1428	2301
383	1432	2297
384	1435	2292
385	1438	2287
386	1441	2283
387	1444	2279
388	1448	2274
389	1451	2270
390	1455	2266
391	1458	2261
392	1461	2256
393	1464	2252
394	1467	2247
395	1470	2243
396	1474	2239
397	1477	2234
398	1480	2230
399	1484	2226
400	1487	2222
401	1490	2217
402	1494	2213
403	1497	2209
404	1500	2204
405	1503	2200
406	1507	2195
407	1510	2191
408	1513	2187
409	1517	2183
410	1521	2179
411	1524	2175
412	1527	2171
413	1530	2166
414	1533	2162
415	1537	2157
416	1540	2153
417	1543	2149
418	1546	2144
419	1550	2140
420	1553	2136
421	1556	2132
422	1559	2127
423	1563	2123
424	1566	2119
425	1569	2115
426	1572	2110
427	1576	2106
428	1579	2102
429	1582	2098
430	1586	2093
431	1589	2089
432	1592	2085
433	1595	2081
434	1599	2077
435	1602	2073
436	1606	2069
437	1609	2065
438	1612	2060
439	1615	2056
440	1619	2052
441	1622	2048
442	1625	2044
443	1629	2039
